,Project Number,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
0,4362-46733,5100.0,5.1,5987.0
1,4629-81627,1570.0,7.85,9212.0
2,4663-31941,9800.0,7.68,9015.0
3,4704-44610,4575.0,7.14,8381.0
4,92289,1584.0,3.96,4648.0
5,72014,2088.0,5.22,6127.0
6,5159-66514,1243.0,8.4,9860.0
7,5159-66522,1683.0,13.2,15495.0
8,5220-56787,975.0,3.25,3815.0
9,81880,1860.0,4.65,5458.0
10,91210,2010.0,5.03,5899.0
11,159132,15330.0,102.2,119966.0
12,168485,1683.0,8.25,9684.0
13,179480,1067.0,4.68,5494.0
14,188511,3797.0,13.73,16122.0
15,194589,1962.0,6.54,7677.0
16,203064,1910.0,6.37,7471.0
17,4089-34641,44268.0,31.62,37117.0
18,2011-158218-SLPR,15600.0,4.16,4883.0
19,2013-545807-Sola,2844.24,6.25,7337.0
20,2010-149013-SLPR,12075.0,6.9,8099.0
21,4056-19990,9450.0,4.73,5546.0
22,2011-156381-SLPR,43200.0,7.2,8452.0
23,2010-145010-SLPR,22037.5,8.82,10347.0
24,2014-655009-Sola,4595.57,10.5,12325.0
25,2012-456108-SLPR,21120.0,7.68,9015.0
26,2012-474954-Sola,17500.0,10.46,12283.0
27,2013-535800-Sola,13011.88,9.81,11510.0
28,2012-465743-Sola,16065.0,9.18,10776.0
29,2014-646044-Sola,4714.7,10.46,12283.0
30,2014-663193-Sola,5144.81,13.01,15266.0
31,4006-43308,7035.0,7.04,8258.0
32,2011-158281-SLPR,18900.0,5.04,5916.0
33,2013-538585-Sola,4928.99,8.82,10353.0
34,2011-159338-SLPR,13048.0,3.89,4566.0
35,4033-46369,5200.0,5.2,6104.0
36,2013-542593-Sola,1819.68,4.41,5177.0
37,2012-456649-Sola,87500.0,169.0,198379.0
38,2011-157048-SLPR,14000.0,3.5,4108.0
39,2011-157567-SLPR,15600.0,4.16,4883.0
40,2012-457606-Sola,10080.0,5.76,6761.0
41,2012-468959-Sola,13650.0,7.8,9156.0
42,2011-156637-SLPR,49500.0,9.9,11621.0
43,2014-646261-Sola,3492.02,8.93,10477.0
44,2011-159050-SLPR,31395.0,8.97,10529.0
45,2013-535353-Sola,14816.97,10.54,12366.0
46,2014-646330-Sola,2839.33,5.5,6456.0
47,2013-636600-Sola,28009.83,18.88,22162.0
48,2011-158810-SLPR,33810.0,9.66,11339.0
49,4006-94274,1824.0,4.56,5353.0
50,2012-488448-Sola,15015.0,8.58,10072.0
51,4022-37844,109348.0,119.13,139840.0
52,2011-160355-SLPR,25650.0,7.6,8921.0
53,2014-655339-Sola,4432.16,9.69,11375.0
54,2011-160802-SLPR,36560.0,11.04,12959.0
55,2011-157458-SLPR,15750.0,4.2,4930.0
56,2013-546182-Sola,2716.87,5.64,6620.0
57,2011-157305-SLPR,32560.0,8.14,9555.0
58,2011-160820-SLPR,70600.0,20.24,23759.0
59,2011-158597-SLPR,25760.0,7.36,8639.0
60,2013-630184-Sola,2195.93,4.17,4889.0
61,2014-640099-Sola,4007.91,7.91,9279.0
62,2011-156289-SLPR,17280.0,2.88,3381.0
63,2013-535786-Sola,11328.27,7.29,8557.0
64,2013-625496-Sola,5976.27,13.52,15870.0
65,2011-190664-SLPR,9240.0,5.28,6198.0
66,2013-537603-Sola,8330.02,8.18,9596.0
67,4006-70179,3213.0,4.59,5388.0
68,2011-161196-SLPR,34121.8,8.17,9590.0
69,2011-160473-SLPR,30240.0,10.08,11832.0
70,2011-157852-SLPR,18000.0,4.8,5634.0
71,2012-456551-Sola,70400.0,25.6,30050.0
72,2014-660869-Sola,4035.77,10.71,12572.0
