,Project Number,Purchase Type,Remote Net Metering,Affordable Solar,Community Distributed Generation
0,4362-46733,Purchase,No,No,No
1,4629-81627,Lease,No,No,No
2,4663-31941,Purchase,,No,No
3,4704-44610,Lease,No,No,No
4,92289,Lease,,No,No
5,72014,Purchase,,No,No
6,5159-66514,Power Purchase Agreement,No,No,No
7,5159-66522,Power Purchase Agreement,No,No,No
8,5220-56787,Lease,No,No,No
9,81880,Lease,,No,No
10,91210,Purchase,,No,No
11,159132,Purchase,,No,No
12,168485,Lease,,No,No
13,179480,Lease,,No,No
14,188511,Lease,,No,No
15,194589,Lease,,No,No
16,203064,Purchase,,No,No
17,4089-34641,Purchase,No,No,No
18,2011-158218-SLPR,Purchase,,No,No
19,2013-545807-Sola,Purchase,,No,No
20,2010-149013-SLPR,Purchase,,No,No
21,4056-19990,,,No,No
22,2011-156381-SLPR,Purchase,,No,No
23,2010-145010-SLPR,Purchase,,No,No
24,2014-655009-Sola,Purchase,,No,No
25,2012-456108-SLPR,Purchase,,No,No
26,2012-474954-Sola,Purchase,,No,No
27,2013-535800-Sola,Purchase,,No,No
28,2012-465743-Sola,Purchase,,No,No
29,2014-646044-Sola,Purchase,,No,No
30,2014-663193-Sola,Lease,,No,No
31,4006-43308,Purchase,No,No,No
32,2011-158281-SLPR,Purchase,,No,No
33,2013-538585-Sola,Lease,,No,No
34,2011-159338-SLPR,Purchase,,No,No
35,4033-46369,Purchase,No,No,No
36,2013-542593-Sola,Lease,,No,No
37,2012-456649-Sola,Purchase,,No,No
38,2011-157048-SLPR,Purchase,,No,No
39,2011-157567-SLPR,Purchase,,No,No
40,2012-457606-Sola,Purchase,,No,No
41,2012-468959-Sola,Purchase,,No,No
42,2011-156637-SLPR,Purchase,,No,No
43,2014-646261-Sola,Lease,,No,No
44,2011-159050-SLPR,Purchase,,No,No
45,2013-535353-Sola,Lease,,No,No
46,2014-646330-Sola,Lease,,No,No
47,2013-636600-Sola,Purchase,,No,No
48,2011-158810-SLPR,Purchase,,No,No
49,4006-94274,Purchase,No,No,No
50,2012-488448-Sola,Purchase,,No,No
51,4022-37844,Purchase,No,No,No
52,2011-160355-SLPR,Purchase,,No,No
53,2014-655339-Sola,Lease,,No,No
54,2011-160802-SLPR,Purchase,,No,No
55,2011-157458-SLPR,Purchase,,No,No
56,2013-546182-Sola,Lease,,No,No
57,2011-157305-SLPR,Purchase,,No,No
58,2011-160820-SLPR,Purchase,,No,No
59,2011-158597-SLPR,Purchase,,No,No
60,2013-630184-Sola,Lease,,No,No
61,2014-640099-Sola,Lease,,No,No
62,2011-156289-SLPR,Purchase,,No,No
63,2013-535786-Sola,Purchase,,No,No
64,2013-625496-Sola,Purchase,,No,No
65,2011-190664-SLPR,Purchase,,No,No
66,2013-537603-Sola,Lease,,No,No
67,4006-70179,Purchase,No,No,No
68,2011-161196-SLPR,Purchase,,No,No
69,2011-160473-SLPR,Purchase,,No,No
70,2011-157852-SLPR,Purchase,,No,No
71,2012-456551-Sola,Purchase,,No,No
72,2014-660869-Sola,Lease,,No,No
73,2011-157068-SLPR,Purchase,,No,No
74,2014-651995-Sola,Lease,,No,No
75,4030-011,,,No,No
76,2011-157635-SLPR,Purchase,,No,No
77,4061-100,,,No,No
78,2011-158130-SLPR,Purchase,,No,No
79,2013-531776-Sola,Purchase,,No,No
80,2012-457083-SLPR,Purchase,,No,No
81,4030-073,,,No,No
82,2014-636929-Sola,Lease,,No,No
83,2011-160449-SLPR,Purchase,,No,No
84,2011-157164-SLPR,Purchase,,No,No
85,2013-535988-Sola,Purchase,,No,No
86,2014-653537-Sola,Purchase,,No,No
87,2012-456009-SLPR,Purchase,,No,No
88,2013-520561-Sola,Purchase,,No,No
89,2010-148863-SLPR,Purchase,,No,No
90,4061-001,,,No,No
91,2013-538972-Sola,Purchase,,No,No
92,2011-160370-SLPR,Purchase,,No,No
93,2011-432225-Sola,Purchase,,No,No
94,2014-649320-Sola,Lease,,No,No
95,2013-520592-Sola,Purchase,,No,No
96,4033-43259,Purchase,No,No,No
97,2014-640370-Sola,Lease,,No,No
98,2012-459436-Sola,Purchase,,No,No
99,2013-532931-Sola,Purchase,,No,No
100,2011-158788-SLPR,Purchase,,No,No
101,2011-160652-SLPR,Purchase,,No,No
102,2012-500111-Sola,Purchase,,No,No
103,2011-156622-SLPR,Purchase,,No,No
104,2012-476706-Sola,Purchase,,No,No
105,4011-65637-GJ,Purchase,No,No,No
106,2011-157246-SLPR,Purchase,,No,No
107,4014-35359,Power Purchase Agreement,No,No,No
108,2013-534910-Sola,Purchase,,No,No
109,4018-007,,,No,No
110,2013-540023-Sola,Purchase,,No,No
111,2014-663860-Sola,Purchase,,No,No
112,2010-146667-SLPR,Purchase,,No,No
113,2011-426734-Sola,Purchase,,No,No
114,2014-638501-Sola,Lease,,No,No
115,2014-648063-Sola,Lease,,No,No
116,2011-158957-SLPR,Purchase,,No,No
117,2011-157111-SLPR,Purchase,,No,No
118,4001-29060,Purchase,,No,No
119,2011-386622-SLPR,Purchase,,No,No
120,2010-145358-SLPR,Purchase,,No,No
121,4003-062,,,No,No
122,2013-530360-Sola,Purchase,,No,No
123,4001-33605,Purchase,Yes,No,No
124,2012-519443-Sola,Purchase,,No,No
125,2014-663862-Sola,Lease,,No,No
126,2011-159157-SLPR,Purchase,,No,No
127,2014-666179-Sola,Purchase,,No,No
128,4054-21984,,,No,No
129,2011-157783-SLPR,Purchase,,No,No
130,2011-156849-SLPR,Purchase,,No,No
131,2014-648432-Sola,Purchase,,No,No
132,2014-649205-Sola,Lease,,No,No
133,2014-660824-Sola,Lease,,No,No
134,2011-156807-SLPR,Purchase,,No,No
135,2011-158417-SLPR,Purchase,,No,No
136,2011-158429-SLPR,Purchase,,No,No
137,2013-538237-Sola,Purchase,,No,No
138,2011-195534-SLPR,Purchase,,No,No
139,2011-159374-SLPR,Purchase,,No,No
140,2011-160660-SLPR,Purchase,,No,No
141,2011-161200-SLPR,Purchase,,No,No
142,4040-008,,,No,No
143,2014-645455-Sola,Purchase,,No,No
144,2011-159743-SLPR,Purchase,,No,No
145,2014-644770-Sola,Lease,,No,No
146,2011-156236-SLPR,Purchase,,No,No
147,2011-160530-SLPR,Purchase,,No,No
148,2012-475590-Sola,Purchase,,No,No
149,2011-183570-SLPR,Purchase,,No,No
150,2014-645871-Sola,Lease,,No,No
151,2014-654886-Sola,Purchase,,No,No
152,2011-158468-SLPR,Purchase,,No,No
153,2014-653482-Sola,Lease,,No,No
154,2010-145172-SLPR,Purchase,,No,No
155,2011-158463-SLPR,Purchase,,No,No
156,2013-635324-Sola,Purchase,,No,No
157,2011-159323-SLPR,Purchase,,No,No
158,2011-158147-SLPR,Purchase,,No,No
159,2011-382764-SLPR,Purchase,,No,No
160,4001-017,,,No,No
161,2012-464130-Sola,Purchase,,No,No
162,2011-158172-SLPR,Purchase,,No,No
163,2011-157226-SLPR,Purchase,,No,No
164,2013-538150-Sola,Lease,,No,No
165,4033-51193,Purchase,No,No,No
166,2011-392768-SLPR,Purchase,,No,No
