Project Cost,Contractor,Project Status
22950,"Monolith Solar Associates, LLC",Complete
38552.2,Harvest Power,Complete
40900,Green Hybrid Energy Solutions,Complete
39984,Tesla Energy Operations Inc.,Complete
12508,SunRun Inc.,Complete
15503.4,"Steed Energy, LLC",Complete
42840,Level Solar,Complete
67320,Level Solar,Complete
18470,Dow Chemical,Complete
15911,SunRun Inc.,Complete
26883.75,Venture Home Solar LLC,Complete
199896,,Pipeline
20213,SunRun Inc.,Complete
21481.2,,Pipeline
51706.13,,Pipeline
42025.9,,Pipeline
24123.35,,Pipeline
121737,AeonSolar,Complete
33620,,Complete
25650,NRG Residential Solar Solutions,Complete
45350,SUNWIZE TECHNOLOGIES,Complete
30096,ISI Solar,Complete
59660,,Complete
51394,SUNPOWER REBATE PROGRAM,Complete
43155,HARVEST POWER,Complete
36710,SUNPOWER REBATE PROGRAM,Complete
94350,SUNPOWER REBATE PROGRAM,Complete
35003.85,WESCO DISTRIBUTION INC,Complete
39241.3,UR SOLAR POWER LLC,Complete
43938,GREENLOGIC LLC,Complete
68276,VIVINT SOLAR,Complete
29899,"ETM Solar Works, Inc.",Complete
28224,,Complete
44100,SOLARCITY CORPORATION,Complete
27800,,Complete
21748,"Renovus Energy, Inc",Complete
22500,Mound Solar Owner VIII LLC,Complete
671362.7,MERCURY SOLAR SYSTEMS,Complete
20000,,Complete
32198,,Complete
37400,SUNPOWER REBATE PROGRAM,Complete
33150,SCHUCO USA LP,Complete
50068.3,,Complete
51051,VIVINT SOLAR,Complete
83882,,Complete
42140,"SUNRUN, INC",Complete
25190,NRG Residential Solar Solutions,Complete
62300,ELDOR CONTRACTING CORP,Complete
72500,,Complete
14375,"ETM Solar Works, Inc.",Complete
38000,SUNPOWER REBATE PROGRAM,Complete
368577,Mercury Solar,Complete
51300,,Complete
50872,VIVINT SOLAR,Complete
76752,,Complete
32500,,Complete
33697,VIVINT SOLAR,Complete
43956,,Complete
131777,,Complete
58880,,Complete
20825,"SolarHouse 1, LLC",Complete
45216,VIVINT SOLAR,Complete
26750,,Complete
25758,WESCO DISTRIBUTION INC,Complete
52728,JOYCE MILILLO,Complete
32300,BRIGHTSIDE ELECTRIC,Complete
41363,"SUNPOWER CAPITAL, LLC c/o RESIDENTIAL LEASING",Complete
20224,"ETM Solar Works, Inc.",Complete
52495,,Complete
60480,,Complete
41664,,Complete
119500,SUNATION SOLAR SYSTEMS INC.,Complete
56227,VIVINT SOLAR,Complete
38750,,Complete
37180,VIVINT SOLAR,Complete
69300,Hudson Valley Clean Energy,Complete
29353,,Complete
66751,Hudson Valley Clean Energy,Complete
48251.2,,Complete
31590,HARVEST POWER,Complete
44520,,Complete
77328,Hudson Valley Clean Energy,Complete
48796,VIVINT SOLAR,Complete
40824,,Complete
74000,,Complete
35616,SUNWIZE TECHNOLOGIES,Complete
43100,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Complete
22557,SUNPOWER REBATE PROGRAM,Complete
30555,WESCO DISTRIBUTION INC,Complete
27400,MERCURY SOLAR SYSTEMS,Complete
51300,Hudson Valley Clean Energy,Complete
50000,ENERGY BY CHOICE LTD,Complete
88209.5,,Complete
38725,SUNPOWER REBATE PROGRAM,Complete
30630,VIVINT SOLAR,Complete
44011,SUNPOWER REBATE PROGRAM,Complete
26629.35,"Renovus Energy, Inc",Complete
30030,VIVINT SOLAR,Complete
45302,SUNPOWER REBATE PROGRAM,Complete
52300,SUNPOWER REBATE PROGRAM,Complete
22772,,Complete
57684,,Complete
40000,JOYCE MILILLO,Complete
66000,,Complete
25900,SUN ENERGY INC,Complete
40200,Triangle Electrical Systems,Complete
43550,,Complete
70195.3,"Solar Energy Systems, LLC",Complete
47040,GO SOLAR/GREEN NY LLC,Complete
43340,"Finger Lakes Renewable Energy, LLC",Complete
30550,LEVEL SOLAR,Complete
52175,SUNPOWER CAPITAL LLC,Complete
80960,SUNPOWER REBATE PROGRAM,Complete
38064,BUILT WELL SOLAR,Complete
13055,"SUNRUN, INC",Complete
30940,Sungevity,Complete
49600,,Complete
37398.7,,Complete
38878.86,"Great Brook Solar NRG, LLC",Complete
35100,MERCURY SOLAR SYSTEMS,Complete
45896,SUNPOWER REBATE PROGRAM,Complete
35818,"Alteris RPS, LLC",Complete
2502970,JOHNSON CONTROLS INC,Complete
63321.35,"Great Brook Solar NRG, LLC",Complete
36167.75,FJC,Complete
33468,VIVINT SOLAR,Complete
33028,,Complete
42075,LEVEL SOLAR,Complete
20381,"Earthsponse, LLC",Complete
68000,,Complete
50000,,Complete
38028,SUNPOWER REBATE PROGRAM,Complete
36707,SUNPOWER CAPITAL LLC,Complete
41501,VIVINT SOLAR,Complete
30330,,Complete
48150,,Complete
21837.3,,Complete
23308,"SUNRUN, INC",Complete
33421,HORIZON SOLAR,Complete
68985,,Complete
35250,,Complete
76515,,Complete
146328,"Sunnyside Solar, Inc.",Complete
29871,GREENLOGIC LLC,Complete
39584,,Complete
21879,VIVINT SOLAR,Complete
21904,,Complete
36960,,Complete
22423,EMPOWER CES LLC,Complete
74025,,Complete
42299,VIVINT SOLAR,Complete
27050,HARVEST POWER,Complete
30313,,Complete
27500,"VISIGOTH SOLAR 1, LLC",Complete
189900,MAJESTIC SON & SONS INC.,Complete
53760,,Complete
41400,GREENLOGIC LLC,Complete
51748,,Complete
74524,,Complete
53750,ENERGY BY CHOICE LTD,Complete
212293.11,"Great Brook Solar NRG, LLC",Complete
17000,FJC,Complete
,,Complete
,,Complete
35840,"SUNRUN, INC",Complete
30839.2,"Renovus Energy, Inc",Complete
46419,SUNPOWER REBATE PROGRAM,Complete
,,Complete
41480,HARVEST POWER,Complete
51278,VIVINT SOLAR,Complete
38909.92,"Alteris RPS, LLC",Complete
47805,GREENLOGIC LLC,Complete
25937.5,"SUNRUN, INC",Complete
31724,WESCO DISTRIBUTION INC,Complete
30700.8,Sungevity,Complete
25272.43,"SUNRUN, INC",Complete
22207.5,"NEW GENERATION SOLAR, INC.",Complete
36550,,Complete
27440,HARVEST POWER,Complete
31844,,Complete
32736,Hudson Valley Clean Energy,Complete
27836,VIVINT SOLAR,Complete
28728,"Earthsponse, LLC",Complete
91213.5,"MOUND SOLAR OWNER V, LLC",Complete
22758,VIVINT SOLAR,Complete
73944,,Complete
54870,SUNPOWER REBATE PROGRAM,Complete
58800,,Complete
41250,"solar Intergrated fund II, llc",Complete
35476,SUNWIZE TECHNOLOGIES,Complete
31850,"SolarHouse 1, LLC",Complete
35360,"SUNRUN, INC",Complete
84598,VIVINT SOLAR,Complete
62000,NRG Residential Solar Solutions,Complete
51850,,Complete
36146,VIVINT SOLAR,Complete
34272,"MONTE ROSA SOLAR, LLC",Complete
76308,VIVINT SOLAR,Complete
49990,,Complete
180000,,Complete
53816,,Complete
20216.2,,Complete
46675,VIVINT SOLAR,Complete
,,Complete
39425,EMPOWER CES LLC,Complete
37500,SOLAR SOLUTIONS OF LONG ISLAND,Complete
49000,"VISIGOTH SOLAR 1, LLC",Complete
57500,,Complete
39663,,Complete
50563,SUNPOWER REBATE PROGRAM,Complete
16800,SUNATION SOLAR SYSTEMS INC.,Complete
42150,,Complete
17850,LEVEL SOLAR,Complete
40914.6,,Complete
46000,ASTRUM SOLAR INC,Complete
58387.8,,Complete
20420,VIVINT SOLAR,Complete
36593,GREENLOGIC LLC,Complete
36590.4,"Renovus Energy, Inc",Complete
33696.56,"Great Brook Solar NRG, LLC",Complete
179990,SUNWIZE TECHNOLOGIES,Complete
43972,,Complete
23489,UR SOLAR POWER LLC,Complete
60545,,Complete
24300,"ETM Solar Works, Inc.",Complete
45216,VIVINT SOLAR,Complete
52759,"BGT CONSULTING, INC",Complete
53968,VIVINT SOLAR,Complete
29400,"solar Intergrated fund II, llc",Complete
53550,VIVINT SOLAR,Complete
17403,VIVINT SOLAR,Complete
40800,,Complete
36216.8,ZERO ENERGY HOMES LLC,Complete
14094,LONG ISLAND POWER SOLUTIONS,Complete
40732,SUNPOWER REBATE PROGRAM,Complete
50000,EMPOWER CES LLC,Complete
72380,,Complete
65590,,Complete
22678,WESCO DISTRIBUTION INC,Complete
28728,"Earthsponse, LLC",Complete
42299,VIVINT SOLAR,Complete
20800,"SUNRUN, INC",Complete
20825,SOLARCITY CORPORATION,Complete
26481,SUNPOWER REBATE PROGRAM,Complete
44505.5,,Complete
154090.43,BLUELAND LLC,Complete
41391,,Complete
64293,,Complete
34000,"SUNRUN, INC",Complete
52592.8,,Complete
57204,GREENLOGIC LLC,Complete
32522,SUNATION SOLAR SYSTEMS INC.,Complete
32890,VIVINT SOLAR,Complete
40000,SUNPOWER REBATE PROGRAM,Complete
32064,SUNPOWER REBATE PROGRAM,Complete
42394,,Complete
29970,ALLIED BUILDING PRODUCT CORP,Complete
18656.4,,Complete
25200,,Complete
18840,"SUNGEVITY DEVELOPMENT, LLC",Complete
24721,"ETM Solar Works, Inc.",Complete
66528,,Complete
22860,"SUNRUN, INC",Complete
34905.6,NRG Residential Solar Solutions,Complete
42560,,Complete
63323,,Complete
33525,AeonSolar,Complete
53460,SUNPOWER REBATE PROGRAM,Complete
40581.6,MERCURY SOLAR SYSTEMS,Complete
74000,,Complete
43473.5,,Complete
65036,SUNPOWER REBATE PROGRAM,Complete
32500,LEVEL SOLAR,Complete
29302,VIVINT SOLAR,Complete
61223,EMPOWER CES LLC,Complete
204173,SUNPOWER REBATE PROGRAM,Complete
42232,SUN ENERGY INC,Complete
70012,VIVINT SOLAR,Complete
38870,VIVINT SOLAR,Complete
41108,,Complete
27122,"SUNRUN, INC",Complete
56350,,Complete
57575,SOLARCITY CORPORATION,Complete
46675,VIVINT SOLAR,Complete
29840,Hudson Valley Clean Energy,Complete
80177.27,"groSolar (Global Resource Options, Inc.)",Complete
82340,,Complete
43750,SOLARCITY CORPORATION,Complete
22000,,Complete
28223,,Complete
17403,VIVINT SOLAR,Complete
71500,,Complete
51000,EASTERN ENERGY SYSTEMS INC,Complete
52500,AeonSolar,Complete
52403,ISI Solar,Complete
41777.5,HARVEST POWER,Complete
24990,SOLARCITY CORPORATION,Complete
79800,,Complete
33156,,Complete
47361,VIVINT SOLAR,Complete
29790,ALLIED BUILDING PRODUCT CORP,Complete
32089,VIVINT SOLAR,Complete
22000,"SUNRUN, INC",Complete
42400,PATRIOT ENERGY SOLUTIONS,Complete
27739,Hudson Valley Clean Energy,Complete
38570,"Alteris RPS, LLC",Complete
61942,,Complete
51723,ELDOR CONTRACTING CORP,Complete
42768,,Complete
34807,VIVINT SOLAR,Complete
5676.4,SUNPOWER REBATE PROGRAM,Complete
49942,SUNPOWER REBATE PROGRAM,Complete
50000,,Complete
35521,SUNPOWER REBATE PROGRAM,Complete
53000,"Damiani and Sun, Inc.",Complete
15691,MERCURY SOLAR SYSTEMS,Complete
37440,"SUNRUN, INC",Complete
12084,,Complete
70986,,Complete
51942.81,SUNSHINE PLUS,Complete
54549,,Complete
28275.5,,Complete
63650,,Complete
37485,VIVINT SOLAR,Complete
52282,GREENLOGIC LLC,Complete
25141,"groSolar (Global Resource Options, Inc.)",Complete
41870,INNOVATED ENERGY SOLUTIONS,Complete
15759,NRG Residential Solar Solutions,Complete
69333.33,HARVEST POWER,Complete
54000,,Complete
18211,"Great Brook Solar NRG, LLC",Complete
63333.3,,Complete
42000,,Complete
39953.3,SUNPOWER REBATE PROGRAM,Complete
29681,INNOVATED ENERGY SOLUTIONS,Complete
41125,LEVEL SOLAR,Complete
57057,,Complete
36850,ENERGY BY CHOICE LTD,Complete
16806,FJC,Complete
56350,,Complete
63470,"ETM Solar Works, Inc.",Complete
28310,SUNPOWER REBATE PROGRAM,Complete
54992,,Complete
50000,Mound Solar Owner VIII LLC,Complete
27713,VIVINT SOLAR,Complete
100000,ENERGY BY CHOICE LTD,Complete
29462.7,"SUNPOWER CAPITAL, LLC c/o RESIDENTIAL LEASING",Complete
60909,EMPOWER CES LLC,Complete
38475,,Complete
27810.24,Quad State Solar,Complete
31467,SUNPOWER REBATE PROGRAM,Complete
35600,SUNWIZE TECHNOLOGIES,Complete
25436,VIVINT SOLAR,Complete
54888,VIVINT SOLAR,Complete
46147,SUNPOWER REBATE PROGRAM,Complete
60000,,Complete
39015,SUNWIZE TECHNOLOGIES,Complete
26254,VIVINT SOLAR,Complete
28800,SUNPOWER REBATE PROGRAM,Complete
,,Complete
26730,FOUR SEASONS ROOFING INC,Complete
42150,,Complete
56885,VIVINT SOLAR,Complete
35100,HARVEST POWER,Complete
18240,"SUNRUN, INC",Complete
20346,HARVEST POWER,Complete
29114,Hudson Valley Clean Energy,Complete
60025,"MOUND SOLAR OWNER V, LLC",Complete
38250,"SUNRUN, INC",Complete
34860,,Complete
35495,HARVEST POWER,Complete
35006,VIVINT SOLAR,Complete
29400,EMPIRE CLEAN ENERGY SUPPLY,Complete
41523.3,UR SOLAR POWER LLC,Complete
88620,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Complete
32775,,Complete
19082.5,NRG Residential Solar Solutions,Complete
29952,LONG ISLAND POWER SOLUTIONS,Complete
22862,SUNWIZE TECHNOLOGIES,Complete
69615,VIVINT SOLAR,Complete
26950,"SolarHouse 1, LLC",Complete
45517,VIVINT SOLAR,Complete
12500,"AMERICAN SOLAR PARTNERS, LLC",Complete
41665,SUNPOWER REBATE PROGRAM,Complete
20825,SOLARCITY CORPORATION,Complete
41228,,Complete
16116,VIVINT SOLAR,Complete
67725,,Complete
54888,VIVINT SOLAR,Complete
28113,VIVINT SOLAR,Complete
28101.5,MERCURY SOLAR SYSTEMS,Complete
52913,GREENLOGIC LLC,Complete
59100,SUNSTREAM USA,Complete
22032,SOLARCITY CORPORATION,Complete
8735.53,"Great Brook Solar NRG, LLC",Complete
20000,SOLARCITY CORPORATION,Complete
36000,SUNPOWER REBATE PROGRAM,Complete
38823,VIVINT SOLAR,Complete
47593,SUNPOWER REBATE PROGRAM,Complete
38823,"SUNPOWER CAPITAL, LLC c/o RESIDENTIAL LEASING",Complete
30613.85,"AMERICAN SOLAR PARTNERS, LLC",Complete
66700,SUNPOWER REBATE PROGRAM,Complete
36627,VIVINT SOLAR,Complete
26655.8,,Complete
37600,"BGT CONSULTING, INC",Complete
25704,SOLARCITY CORPORATION,Complete
30302.29,"SUNRUN, INC",Complete
27174,SUNPOWER REBATE PROGRAM,Complete
42299,VIVINT SOLAR,Complete
18961,VIVINT SOLAR,Complete
34719,,Complete
58905,VIVINT SOLAR,Complete
45998,"Alteris RPS, LLC",Complete
33820,SUNWIZE TECHNOLOGIES,Complete
41172,VIVINT SOLAR,Complete
57500,,Complete
21840,VIVINT SOLAR,Complete
48300,SUNSTREAM USA,Complete
48133,VIVINT SOLAR,Complete
65000,,Complete
45880,"ETM Solar Works, Inc.",Complete
57960,JOYCE MILILLO,Complete
50752,SUNWIZE TECHNOLOGIES,Complete
40320,"Earthsponse, LLC",Complete
36380,WESCO DISTRIBUTION INC,Complete
23265,LONG ISLAND POWER SOLUTIONS,Complete
17150,SOLARCITY CORPORATION,Complete
35250,"SUNRUN, INC",Complete
33548,"Alteris RPS, LLC",Complete
44150,,Complete
53550,VIVINT SOLAR,Complete
42308.97,,Complete
59760,,Complete
36500,TRINITY SOLAR,Complete
12794.43,"SUNRUN, INC",Complete
48312,LONG ISLAND POWER SOLUTIONS,Complete
27000,,Complete
26747,UR SOLAR POWER LLC,Complete
46233,SUNPOWER REBATE PROGRAM,Complete
56035,AeonSolar,Complete
28940,"Alteris RPS, LLC",Complete
28900,,Complete
69216,,Complete
28687.5,TRINITY SOLAR,Complete
29302,VIVINT SOLAR,Complete
13757,"POWER 2 PROFIT ENERY SYSTEMS, INC.",Complete
52000,,Complete
30427,MERCURY SOLAR SYSTEMS,Complete
44730,,Complete
50094,EASTERN ENERGY SYSTEMS INC,Complete
53266,SUNPOWER REBATE PROGRAM,Complete
35006,VIVINT SOLAR,Complete
30680,,Complete
27664,,Complete
41501,VIVINT SOLAR,Complete
56000,,Complete
179750,,Complete
14000,"BLUE SKIES SOLAR,LLC",Complete
32690,,Complete
53550,VIVINT SOLAR,Complete
34402.5,HARVEST POWER,Complete
49000,SOLAR MAX SYSTEMS,Complete
45466,,Complete
50225,"SolarHouse 1, LLC",Complete
25277,SUNATION SOLAR SYSTEMS INC.,Complete
53775,,Complete
30158,"Earthsponse, LLC",Complete
51520,,Complete
45340,SUNPOWER REBATE PROGRAM,Complete
37312,SUNWIZE TECHNOLOGIES,Complete
27489,"BLUE SKIES SOLAR,LLC",Complete
30630,VIVINT SOLAR,Complete
34115,LONG ISLAND POWER SOLUTIONS,Complete
33547,VIVINT SOLAR,Complete
146079,Quixotic Systems LLC,Complete
200000,ADVANCED SOLAR POWER,Complete
56468,SUNPOWER REBATE PROGRAM,Complete
70562,,Complete
30904,,Complete
32130,VIVINT SOLAR,Complete
31071.6,NRG Residential Solar Solutions,Complete
30420,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Complete
60175,SUNWIZE TECHNOLOGIES,Complete
40000,,Complete
36529,ALLIED BUILDING PRODUCT CORP,Complete
750000,"WIEDERSUM ASSOCIATES, P.C.",Complete
19900,SUNPOWER REBATE PROGRAM,Complete
30082,COOPER ELECTRIC,Complete
179750,,Complete
30345,SUNWIZE TECHNOLOGIES,Complete
36146,VIVINT SOLAR,Complete
21560,"SUNRUN, INC",Complete
40807,SUNPOWER REBATE PROGRAM,Complete
30561.17,"Great Brook Solar NRG, LLC",Complete
394500,SUNPOWER REBATE PROGRAM,Complete
12048,VIVINT SOLAR,Complete
23040,,Complete
36403,"Great Brook Solar NRG, LLC",Complete
55476,,Complete
34385,VIVINT SOLAR,Complete
26910,VERENGO SOLAR,Complete
17127,"Alteris RPS, LLC",Complete
42664,GREENLOGIC LLC,Complete
56865,SUNPOWER REBATE PROGRAM,Complete
50195,SUNPOWER REBATE PROGRAM,Complete
34807,VIVINT SOLAR,Complete
26941.2,"SUNGEVITY DEVELOPMENT, LLC",Complete
63000,,Complete
18750,"ETM Solar Works, Inc.",Complete
33000,COOPER ELECTRIC,Complete
31450,,Complete
40435.2,,Complete
37212.5,,Complete
21738,MERCURY SOLAR SYSTEMS,Complete
45200,,Complete
29855,SEA BREEZE ELECTRIC,Complete
26200,,Complete
33549,,Complete
32400,NRG Residential Solar Solutions,Complete
38500,CLEAN ENERGY SOLUTIONS LLC,Complete
26371,VIVINT SOLAR,Complete
43763.96,LONG ISLAND POWER SOLUTIONS,Complete
43750,,Complete
67600,"MOUND SOLAR OWNER V, LLC",Complete
32232,VIVINT SOLAR,Complete
28752,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Complete
24778,PATRIOT ENERGY SOLUTIONS,Complete
32800,"SUNRUN, INC",Complete
58631,,Complete
40300,,Complete
,,Complete
49592,VIVINT SOLAR,Complete
26460,"Earthsponse, LLC",Complete
25500,SOLARCITY CORPORATION,Complete
56885,VIVINT SOLAR,Complete
28471.51,Mercury Solar,Complete
25800,"SUNRUN, INC",Complete
,,Complete
13000,LEVEL SOLAR,Complete
49966,SUNPOWER REBATE PROGRAM,Complete
32250.95,"Great Brook Solar NRG, LLC",Complete
63550,,Complete
42487,VIVINT SOLAR,Complete
58968,,Complete
32900,ONTILITY LLC,Complete
,,Complete
59480,SUNPOWER REBATE PROGRAM,Complete
65925,,Complete
37000,ABEST ENERGY POWER,Complete
42840,R & B QUALITY ELECTRIC,Complete
32089,VIVINT SOLAR,Complete
35690,ALLIED BUILDING PRODUCT CORP,Complete
36703,SUNPOWER REBATE PROGRAM,Complete
44327,GREENLOGIC LLC,Complete
44178,VIVINT SOLAR,Complete
53200,"solar Intergrated fund II, llc",Complete
57960,,Complete
288160,"Tristate Solar, Inc.",Complete
45216,VIVINT SOLAR,Complete
22873,"SUNRUN, INC",Complete
61992,BEST ENERGY POWER,Complete
18458,"Great Brook Solar NRG, LLC",Complete
81552.5,,Complete
28000,TRINITY SOLAR,Complete
18750,"MOUND SOLAR OWNER V, LLC",Complete
34980,SUNPOWER REBATE PROGRAM,Complete
50803,"SUNPOWER CAPITAL, LLC c/o RESIDENTIAL LEASING",Complete
82000,,Complete
24500,SOLARCITY CORPORATION,Complete
27187.5,QUAD STATE SOLAR,Complete
37315.2,VIVINT SOLAR,Complete
17503,VIVINT SOLAR,Complete
35936,Hudson Valley Clean Energy,Complete
15100,ELDOR CONTRACTING CORP,Complete
35000,"VISIGOTH SOLAR 1, LLC",Complete
27526,SUNPOWER REBATE PROGRAM,Complete
28520,,Complete
56468,SUNPOWER REBATE PROGRAM,Complete
34680,"ETM Solar Works, Inc.",Complete
43240,CLEAN ENERGY SOLUTIONS LLC,Complete
37346.4,"Renovus Energy, Inc",Complete
31564,Triangle Electrical Systems,Complete
34895,Hudson Valley Clean Energy,Complete
12000,SOLAR ONE ENERGY,Complete
50274,,Complete
20625,,Complete
41136,,Complete
55400,MERCURY SOLAR SYSTEMS,Complete
38250,LEVEL SOLAR,Complete
30244,AeonSolar,Complete
36056,MERCURY SOLAR SYSTEMS,Complete
51056,SUNPOWER REBATE PROGRAM,Complete
42534,ALLIED BUILDING PRODUCT CORP,Complete
50614.5,,Complete
48950,,Complete
26254,VIVINT SOLAR,Complete
33300,EVAN ESPOSITO,Complete
51851,VIVINT SOLAR,Complete
38823,VIVINT SOLAR,Complete
48496.8,HARVEST POWER,Complete
20660,SUNWIZE TECHNOLOGIES,Complete
45425,SUNPOWER CAPITAL LLC,Complete
36051,,Complete
52650,,Complete
32232,VIVINT SOLAR,Complete
31020,Triangle Electrical Systems,Complete
37000,SUNPOWER REBATE PROGRAM,Complete
20825,"SolarHouse 1, LLC",Complete
90000,,Complete
63504,,Complete
36450,,Complete
43103,,Complete
18967,SUNWIZE TECHNOLOGIES,Complete
43621.8,SUNPOWER REBATE PROGRAM,Complete
25594,SUNRISE ENERGY CONCEPTS INC,Complete
37941,COOPER ELECTRIC,Complete
58984,,Complete
46250,"VISIGOTH SOLAR 1, LLC",Complete
19549,"altPower, Inc.",Complete
43971,,Complete
8880,"Rochester Solar Technologies, LLC",Complete
