$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
5100,5.1,5987
1570,7.85,9212
9800,7.68,9015
4575,7.14,8381
1584,3.96,4648
2088,5.22,6127
1243,8.4,9860
1683,13.2,15495
975,3.25,3815
1860,4.65,5458
2010,5.03,5899
15330,102.2,119966
1683,8.25,9684
1067,4.68,5494
3797,13.73,16122
1962,6.54,7677
1910,6.37,7471
44268,31.62,37117
15600,4.16,4883
2844.24,6.25,7337
12075,6.9,8099
9450,4.73,5546
43200,7.2,8452
22037.5,8.82,10347
4595.57,10.5,12325
21120,7.68,9015
17500,10.46,12283
13011.88,9.81,11510
16065,9.18,10776
4714.7,10.46,12283
5144.81,13.01,15266
7035,7.04,8258
18900,5.04,5916
4928.99,8.82,10353
13048,3.89,4566
5200,5.2,6104
1819.68,4.41,5177
87500,169,198379
14000,3.5,4108
15600,4.16,4883
10080,5.76,6761
13650,7.8,9156
49500,9.9,11621
3492.02,8.93,10477
31395,8.97,10529
14816.97,10.54,12366
2839.33,5.5,6456
28009.83,18.88,22162
33810,9.66,11339
1824,4.56,5353
15015,8.58,10072
109348,119.13,139840
25650,7.6,8921
4432.16,9.69,11375
36560,11.04,12959
15750,4.2,4930
2716.87,5.64,6620
32560,8.14,9555
70600,20.24,23759
25760,7.36,8639
2195.93,4.17,4889
4007.91,7.91,9279
17280,2.88,3381
11328.27,7.29,8557
5976.27,13.52,15870
9240,5.28,6198
8330.02,8.18,9596
3213,4.59,5388
34121.8,8.17,9590
30240,10.08,11832
18000,4.8,5634
70400,25.6,30050
4035.77,10.71,12572
20160,5.04,5916
3173.33,6.5,7630
29300,8.1,9508
13500,3.6,4226
20000,8.1,9508
28080,7.49,8792
10530,7.02,8240
22260,8.23,9655
35000,10.13,11885
3508.05,8.16,9579
19845,5.67,6656
39900,9.98,11715
6018.96,7.95,9332
4257.97,10.07,11821
7560,4.32,5071
12521.25,7.16,8399
10683.75,6.11,7166
22550.5,5.85,6867
12276,7.44,8733
41600,14.4,16903
13440,7.68,9015
2630.46,5.36,6286
14577.5,8.33,9778
7020,7.02,8240
2057.29,5.25,6163
17500,10.24,12020
16262.2,11.77,13818
15246,4.36,5118
28842,8.74,10259
17500,10.05,11791
41250,8.25,9684
8470,4.84,5681
7056,10.26,12044
24600,6.15,7219
24024,18.48,21693
11800.75,7.84,9203
19200,4.8,5634
2973.49,6.11,7172
6047.35,12.1,14202
20125,11.5,13499
12810,7.32,8593
1613.03,3.25,3815
3321.74,7,8217
22400,6.4,7513
26600,6.65,7806
10500,7.2,8452
10237.5,5.85,6867
18000,7.2,8452
13840,4.92,5775
35280,20.16,23665
25200,18,21129
16861.25,9.64,11310
2910.95,6.38,7483
16100,4.6,5400
4544.12,8.42,9878
4410,2.52,2958
31938.8,8.52,10001
14850,3.3,3874
3831.06,7.85,9212
3574.54,7.85,9212
3293.81,7.91,9279
11272.5,2.51,2946
21262.5,6.08,7137
13965,3.99,4684
5807.79,6,7043
12600,7.2,8452
33075,9.45,11093
17625,5.64,6620
2100,3.22,3780
65520,21.84,25637
4449.7,8.5,9978
19320,5.52,6480
1571.79,3.75,4402
9000,3,3522
18480,5.28,6198
6867,3.92,4606
34545,9.87,11586
3560.78,7.4,8681
2764.82,7.25,8510
17500,5,5869
2229.84,5.5,6456
89700,35.88,42117
23520,6.72,7888
5626.71,10.44,12255
24150,6.9,8099
37500,10.37,12173
16800,9.6,11269
122500,24.5,28759
8400,4.8,5634
19687.5,5.25,6163
40000,10.1,11856
7289.2,8.25,9684
4848,7.28,8546
17500,10.12,11879
37440,9.98,11715
17290,9.88,11598
6165.64,8.58,10066
8750,5.16,6057
5501.43,11.06,12977
4645.81,5.5,6456
13448.75,7.69,9021
3196.21,6.5,7630
7877.57,7,8217
11103.75,6.35,7448
17062.5,4.55,5341
12005,6.86,8053
13167,3.76,4414
9000,3.6,4226
2442.69,4.66,5464
8820,5.04,5916
17200,17.89,20994
2042.6,4.34,5089
35100,9.36,10987
17500,10.12,11879
29400,8.4,9860
2802.88,8.25,9684
16905,9.66,11339
3475.48,6.37,7477
6186.59,8,9391
6600,14.79,17361
12987.7,15.6,18312
37325,11.55,13558
2985.41,6.89,8082
7405.78,6.72,7888
6098.28,14.54,17062
24150,6.9,8099
47500,10.2,11973
25987.5,7.43,8722
7140,1.9,2230
3440.17,8.16,9579
15120,4.32,5071
4133.14,9.81,11515
17500,10.29,12079
4100.39,8.75,10271
28750,9.24,10846
16100,4.6,5400
14720,7.36,8639
5346.25,3.06,3586
