,Project Number,Contractor
0,4362-46733,"Monolith Solar Associates, LLC"
1,4629-81627,Harvest Power
2,4663-31941,Green Hybrid Energy Solutions
3,4704-44610,Tesla Energy Operations Inc.
4,92289,SunRun Inc.
5,72014,"Steed Energy, LLC"
6,5159-66514,Level Solar
7,5159-66522,Level Solar
8,5220-56787,Dow Chemical
9,81880,SunRun Inc.
10,91210,Venture Home Solar LLC
11,159132,
12,168485,SunRun Inc.
13,179480,
14,188511,
15,194589,
16,203064,
17,4089-34641,AeonSolar
18,2011-158218-SLPR,
19,2013-545807-Sola,NRG Residential Solar Solutions
20,2010-149013-SLPR,SUNWIZE TECHNOLOGIES
21,4056-19990,ISI Solar
22,2011-156381-SLPR,
23,2010-145010-SLPR,SUNPOWER REBATE PROGRAM
24,2014-655009-Sola,HARVEST POWER
25,2012-456108-SLPR,SUNPOWER REBATE PROGRAM
26,2012-474954-Sola,SUNPOWER REBATE PROGRAM
27,2013-535800-Sola,WESCO DISTRIBUTION INC
28,2012-465743-Sola,UR SOLAR POWER LLC
29,2014-646044-Sola,GREENLOGIC LLC
30,2014-663193-Sola,VIVINT SOLAR
31,4006-43308,"ETM Solar Works, Inc."
32,2011-158281-SLPR,
33,2013-538585-Sola,SOLARCITY CORPORATION
34,2011-159338-SLPR,
35,4033-46369,"Renovus Energy, Inc"
36,2013-542593-Sola,Mound Solar Owner VIII LLC
37,2012-456649-Sola,MERCURY SOLAR SYSTEMS
38,2011-157048-SLPR,
39,2011-157567-SLPR,
40,2012-457606-Sola,SUNPOWER REBATE PROGRAM
41,2012-468959-Sola,SCHUCO USA LP
42,2011-156637-SLPR,
43,2014-646261-Sola,VIVINT SOLAR
44,2011-159050-SLPR,
45,2013-535353-Sola,"SUNRUN, INC"
46,2014-646330-Sola,NRG Residential Solar Solutions
47,2013-636600-Sola,ELDOR CONTRACTING CORP
48,2011-158810-SLPR,
49,4006-94274,"ETM Solar Works, Inc."
50,2012-488448-Sola,SUNPOWER REBATE PROGRAM
51,4022-37844,Mercury Solar
52,2011-160355-SLPR,
53,2014-655339-Sola,VIVINT SOLAR
54,2011-160802-SLPR,
55,2011-157458-SLPR,
56,2013-546182-Sola,VIVINT SOLAR
57,2011-157305-SLPR,
58,2011-160820-SLPR,
59,2011-158597-SLPR,
60,2013-630184-Sola,"SolarHouse 1, LLC"
61,2014-640099-Sola,VIVINT SOLAR
62,2011-156289-SLPR,
63,2013-535786-Sola,WESCO DISTRIBUTION INC
64,2013-625496-Sola,JOYCE MILILLO
65,2011-190664-SLPR,BRIGHTSIDE ELECTRIC
66,2013-537603-Sola,"SUNPOWER CAPITAL, LLC c/o RESIDENTIAL LEASING"
67,4006-70179,"ETM Solar Works, Inc."
68,2011-161196-SLPR,
69,2011-160473-SLPR,
70,2011-157852-SLPR,
71,2012-456551-Sola,SUNATION SOLAR SYSTEMS INC.
72,2014-660869-Sola,VIVINT SOLAR
73,2011-157068-SLPR,
74,2014-651995-Sola,VIVINT SOLAR
75,4030-011,Hudson Valley Clean Energy
76,2011-157635-SLPR,
77,4061-100,Hudson Valley Clean Energy
78,2011-158130-SLPR,
79,2013-531776-Sola,HARVEST POWER
80,2012-457083-SLPR,
81,4030-073,Hudson Valley Clean Energy
82,2014-636929-Sola,VIVINT SOLAR
83,2011-160449-SLPR,
84,2011-157164-SLPR,
85,2013-535988-Sola,SUNWIZE TECHNOLOGIES
86,2014-653537-Sola,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC
87,2012-456009-SLPR,SUNPOWER REBATE PROGRAM
88,2013-520561-Sola,WESCO DISTRIBUTION INC
89,2010-148863-SLPR,MERCURY SOLAR SYSTEMS
90,4061-001,Hudson Valley Clean Energy
91,2013-538972-Sola,ENERGY BY CHOICE LTD
92,2011-160370-SLPR,
93,2011-432225-Sola,SUNPOWER REBATE PROGRAM
94,2014-649320-Sola,VIVINT SOLAR
95,2013-520592-Sola,SUNPOWER REBATE PROGRAM
96,4033-43259,"Renovus Energy, Inc"
97,2014-640370-Sola,VIVINT SOLAR
98,2012-459436-Sola,SUNPOWER REBATE PROGRAM
99,2013-532931-Sola,SUNPOWER REBATE PROGRAM
100,2011-158788-SLPR,
101,2011-160652-SLPR,
102,2012-500111-Sola,JOYCE MILILLO
103,2011-156622-SLPR,
104,2012-476706-Sola,SUN ENERGY INC
105,4011-65637-GJ,Triangle Electrical Systems
