,Project Number,Project Cost
0,4362-46733,22950
1,4629-81627,38552.2
2,4663-31941,40900
3,4704-44610,39984
4,92289,12508
5,72014,15503.4
6,5159-66514,42840
7,5159-66522,67320
8,5220-56787,18470
9,81880,15911
10,91210,26883.75
11,159132,199896
12,168485,20213
13,179480,21481.2
14,188511,51706.13
15,194589,42025.9
16,203064,24123.35
17,4089-34641,121737
18,2011-158218-SLPR,33620
19,2013-545807-Sola,25650
20,2010-149013-SLPR,45350
21,4056-19990,30096
22,2011-156381-SLPR,59660
23,2010-145010-SLPR,51394
24,2014-655009-Sola,43155
25,2012-456108-SLPR,36710
26,2012-474954-Sola,94350
27,2013-535800-Sola,35003.85
28,2012-465743-Sola,39241.3
29,2014-646044-Sola,43938
30,2014-663193-Sola,68276
31,4006-43308,29899
32,2011-158281-SLPR,28224
33,2013-538585-Sola,44100
34,2011-159338-SLPR,27800
35,4033-46369,21748
36,2013-542593-Sola,22500
37,2012-456649-Sola,671362.7
38,2011-157048-SLPR,20000
39,2011-157567-SLPR,32198
40,2012-457606-Sola,37400
41,2012-468959-Sola,33150
42,2011-156637-SLPR,50068.3
43,2014-646261-Sola,51051
44,2011-159050-SLPR,83882
45,2013-535353-Sola,42140
46,2014-646330-Sola,25190
47,2013-636600-Sola,62300
48,2011-158810-SLPR,72500
49,4006-94274,14375
50,2012-488448-Sola,38000
51,4022-37844,368577
52,2011-160355-SLPR,51300
53,2014-655339-Sola,50872
54,2011-160802-SLPR,76752
55,2011-157458-SLPR,32500
56,2013-546182-Sola,33697
57,2011-157305-SLPR,43956
58,2011-160820-SLPR,131777
59,2011-158597-SLPR,58880
60,2013-630184-Sola,20825
61,2014-640099-Sola,45216
62,2011-156289-SLPR,26750
63,2013-535786-Sola,25758
64,2013-625496-Sola,52728
65,2011-190664-SLPR,32300
66,2013-537603-Sola,41363
67,4006-70179,20224
68,2011-161196-SLPR,52495
69,2011-160473-SLPR,60480
70,2011-157852-SLPR,41664
71,2012-456551-Sola,119500
72,2014-660869-Sola,56227
73,2011-157068-SLPR,38750
74,2014-651995-Sola,37180
75,4030-011,69300
76,2011-157635-SLPR,29353
77,4061-100,66751
78,2011-158130-SLPR,48251.2
79,2013-531776-Sola,31590
80,2012-457083-SLPR,44520
81,4030-073,77328
82,2014-636929-Sola,48796
83,2011-160449-SLPR,40824
84,2011-157164-SLPR,74000
85,2013-535988-Sola,35616
86,2014-653537-Sola,43100
87,2012-456009-SLPR,22557
88,2013-520561-Sola,30555
89,2010-148863-SLPR,27400
90,4061-001,51300
91,2013-538972-Sola,50000
92,2011-160370-SLPR,88209.5
93,2011-432225-Sola,38725
94,2014-649320-Sola,30630
95,2013-520592-Sola,44011
96,4033-43259,26629.35
97,2014-640370-Sola,30030
98,2012-459436-Sola,45302
99,2013-532931-Sola,52300
100,2011-158788-SLPR,22772
101,2011-160652-SLPR,57684
102,2012-500111-Sola,40000
103,2011-156622-SLPR,66000
104,2012-476706-Sola,25900
105,4011-65637-GJ,40200
106,2011-157246-SLPR,43550
107,4014-35359,70195.3
108,2013-534910-Sola,47040
109,4018-007,43340
110,2013-540023-Sola,30550
111,2014-663860-Sola,52175
112,2010-146667-SLPR,80960
113,2011-426734-Sola,38064
114,2014-638501-Sola,13055
115,2014-648063-Sola,30940
116,2011-158957-SLPR,49600
117,2011-157111-SLPR,37398.7
118,4001-29060,38878.86
119,2011-386622-SLPR,35100
120,2010-145358-SLPR,45896
121,4003-062,35818
122,2013-530360-Sola,2502970
123,4001-33605,63321.35
124,2012-519443-Sola,36167.75
125,2014-663862-Sola,33468
126,2011-159157-SLPR,33028
127,2014-666179-Sola,42075
128,4054-21984,20381
129,2011-157783-SLPR,68000
130,2011-156849-SLPR,50000
131,2014-648432-Sola,38028
132,2014-649205-Sola,36707
133,2014-660824-Sola,41501
134,2011-156807-SLPR,30330
135,2011-158417-SLPR,48150
136,2011-158429-SLPR,21837.3
137,2013-538237-Sola,23308
138,2011-195534-SLPR,33421
139,2011-159374-SLPR,68985
140,2011-160660-SLPR,35250
141,2011-161200-SLPR,76515
142,4040-008,146328
143,2014-645455-Sola,29871
144,2011-159743-SLPR,39584
145,2014-644770-Sola,21879
146,2011-156236-SLPR,21904
147,2011-160530-SLPR,36960
148,2012-475590-Sola,22423
149,2011-183570-SLPR,74025
150,2014-645871-Sola,42299
151,2014-654886-Sola,27050
152,2011-158468-SLPR,30313
153,2014-653482-Sola,27500
154,2010-145172-SLPR,189900
155,2011-158463-SLPR,53760
156,2013-635324-Sola,41400
157,2011-159323-SLPR,51748
158,2011-158147-SLPR,74524
159,2011-382764-SLPR,53750
160,4001-017,212293.11
161,2012-464130-Sola,17000
162,2011-158172-SLPR,
163,2011-157226-SLPR,
164,2013-538150-Sola,35840
165,4033-51193,30839.2
166,2011-392768-SLPR,46419
167,2011-158051-SLPR,
168,2011-432691-Sola,41480
169,2013-538832-Sola,51278
170,4003-19332,38909.92
171,2014-648138-Sola,47805
172,2013-538408-Sola,25937.5
173,2013-528741-Sola,31724
174,2014-658903-Sola,30700.8
175,2013-536566-Sola,25272.43
176,2012-475959-Sola,22207.5
177,2011-157516-SLPR,36550
178,2012-502747-Sola,27440
179,2011-158995-SLPR,31844
180,4030-106,32736
181,2013-539532-Sola,27836
182,4054-21679,28728
183,2013-537072-Sola,91213.5
184,2014-658880-Sola,22758
185,2011-158099-SLPR,73944
186,2011-447572-Sola,54870
187,2011-160917-SLPR,58800
188,2014-660669-Sola,41250
189,2012-448572-SLPR,35476
190,2013-555539-Sola,31850
191,2013-538700-Sola,35360
192,2014-644755-Sola,84598
193,2013-532872-Sola,62000
194,2011-160103-SLPR,51850
195,2014-663282-Sola,36146
196,2013-536103-Sola,34272
197,2014-658870-Sola,76308
198,2011-160613-SLPR,49990
199,2011-157708-SLPR,180000
200,2011-159806-SLPR,53816
201,2011-158007-SLPR,20216.2
202,2014-649468-Sola,46675
203,2011-158376-SLPR,
204,2014-665433-Sola,39425
205,2013-528831-Sola,37500
206,2014-664065-Sola,49000
207,2011-160433-SLPR,57500
208,2011-160769-SLPR,39663
209,2010-147446-SLPR,50563
210,2011-390973-SLPR,16800
211,2011-160259-SLPR,42150
212,2014-666226-Sola,17850
213,2011-157428-SLPR,40914.6
214,2013-530717-Sola,46000
215,2011-156717-SLPR,58387.8
216,2014-651014-Sola,20420
217,2014-648475-Sola,36593
218,4033-46074,36590.4
219,4001-024,33696.56
220,2010-146523-SLPR,179990
221,2011-160111-SLPR,43972
222,2011-373144-SLPR,23489
223,2011-160551-SLPR,60545
224,4006-52449,24300
225,2014-642012-Sola,45216
226,2013-636809-Sola,52759
227,2014-649264-Sola,53968
228,2014-664342-Sola,29400
229,2014-660976-Sola,53550
230,2014-663358-Sola,17403
231,2011-157649-SLPR,40800
232,2012-478874-Sola,36216.8
233,2014-661014-Sola,14094
234,2013-530302-Sola,40732
235,2014-649661-Sola,50000
236,2011-159849-SLPR,72380
237,2011-159520-SLPR,65590
238,2013-538299-Sola,22678
239,4054-028,28728
240,2014-648200-Sola,42299
241,2013-538759-Sola,20800
242,2013-542492-Sola,20825
243,2014-645288-Sola,26481
244,2011-158550-SLPR,44505.5
245,2013-630981-Sola,154090.43
246,2011-159134-SLPR,41391
247,2011-156910-SLPR,64293
248,2013-536984-Sola,34000
249,2011-156332-SLPR,52592.8
250,2014-658985-Sola,57204
251,2014-664051-Sola,32522
252,2014-645735-Sola,32890
253,2012-448317-SLPR,40000
254,2012-518035-Sola,32064
255,2011-160788-SLPR,42394
256,2014-660328-Sola,29970
257,2011-156401-SLPR,18656.4
258,2011-159202-SLPR,25200
259,2014-640684-Sola,18840
260,4006-100254,24721
261,2011-160983-SLPR,66528
262,2013-539831-Sola,22860
263,2014-654662-Sola,34905.6
264,2011-159894-SLPR,42560
265,2011-160145-SLPR,63323
266,4089-016,33525
267,2010-146364-SLPR,53460
268,2010-148862-SLPR,40581.6
269,2011-160493-SLPR,74000
270,2011-156631-SLPR,43473.5
271,2010-145793-SLPR,65036
272,2014-658823-Sola,32500
273,2013-536956-Sola,29302
274,2013-533670-Sola,61223
275,2012-456114-SLPR,204173
276,2012-518037-Sola,42232
