Project Number,$Incentive
4362-46733,5100
4629-81627,1570
4663-31941,9800
4704-44610,4575
92289,1584
72014,2088
5159-66514,1243
5159-66522,1683
5220-56787,975
81880,1860
91210,2010
159132,15330
168485,1683
179480,1067
188511,3797
194589,1962
203064,1910
4089-34641,44268
2011-158218-SLPR,15600
2013-545807-Sola,2844.24
2010-149013-SLPR,12075
4056-19990,9450
2011-156381-SLPR,43200
2010-145010-SLPR,22037.5
2014-655009-Sola,4595.57
2012-456108-SLPR,21120
2012-474954-Sola,17500
2013-535800-Sola,13011.88
2012-465743-Sola,16065
2014-646044-Sola,4714.7
2014-663193-Sola,5144.81
4006-43308,7035
2011-158281-SLPR,18900
2013-538585-Sola,4928.99
2011-159338-SLPR,13048
4033-46369,5200
2013-542593-Sola,1819.68
2012-456649-Sola,87500
2011-157048-SLPR,14000
2011-157567-SLPR,15600
2012-457606-Sola,10080
2012-468959-Sola,13650
2011-156637-SLPR,49500
2014-646261-Sola,3492.02
2011-159050-SLPR,31395
2013-535353-Sola,14816.97
2014-646330-Sola,2839.33
2013-636600-Sola,28009.83
2011-158810-SLPR,33810
4006-94274,1824
2012-488448-Sola,15015
4022-37844,109348
2011-160355-SLPR,25650
2014-655339-Sola,4432.16
2011-160802-SLPR,36560
2011-157458-SLPR,15750
2013-546182-Sola,2716.87
2011-157305-SLPR,32560
2011-160820-SLPR,70600
2011-158597-SLPR,25760
2013-630184-Sola,2195.93
2014-640099-Sola,4007.91
2011-156289-SLPR,17280
2013-535786-Sola,11328.27
2013-625496-Sola,5976.27
2011-190664-SLPR,9240
2013-537603-Sola,8330.02
4006-70179,3213
2011-161196-SLPR,34121.8
2011-160473-SLPR,30240
2011-157852-SLPR,18000
2012-456551-Sola,70400
2014-660869-Sola,4035.77
2011-157068-SLPR,20160
2014-651995-Sola,3173.33
4030-011,29300
2011-157635-SLPR,13500
4061-100,20000
2011-158130-SLPR,28080
2013-531776-Sola,10530
2012-457083-SLPR,22260
4030-073,35000
2014-636929-Sola,3508.05
2011-160449-SLPR,19845
2011-157164-SLPR,39900
2013-535988-Sola,6018.96
2014-653537-Sola,4257.97
2012-456009-SLPR,7560
2013-520561-Sola,12521.25
2010-148863-SLPR,10683.75
4061-001,22550.5
2013-538972-Sola,12276
2011-160370-SLPR,41600
2011-432225-Sola,13440
2014-649320-Sola,2630.46
2013-520592-Sola,14577.5
4033-43259,7020
2014-640370-Sola,2057.29
2012-459436-Sola,17500
2013-532931-Sola,16262.2
2011-158788-SLPR,15246
2011-160652-SLPR,28842
2012-500111-Sola,17500
2011-156622-SLPR,41250
2012-476706-Sola,8470
4011-65637-GJ,7056
2011-157246-SLPR,24600
4014-35359,24024
2013-534910-Sola,11800.75
4018-007,19200
2013-540023-Sola,2973.49
2014-663860-Sola,6047.35
2010-146667-SLPR,20125
2011-426734-Sola,12810
2014-638501-Sola,1613.03
2014-648063-Sola,3321.74
2011-158957-SLPR,22400
2011-157111-SLPR,26600
4001-29060,10500
2011-386622-SLPR,10237.5
2010-145358-SLPR,18000
4003-062,13840
2013-530360-Sola,35280
4001-33605,25200
2012-519443-Sola,16861.25
2014-663862-Sola,2910.95
2011-159157-SLPR,16100
2014-666179-Sola,4544.12
4054-21984,4410
2011-157783-SLPR,31938.8
2011-156849-SLPR,14850
2014-648432-Sola,3831.06
2014-649205-Sola,3574.54
2014-660824-Sola,3293.81
2011-156807-SLPR,11272.5
2011-158417-SLPR,21262.5
2011-158429-SLPR,13965
2013-538237-Sola,5807.79
2011-195534-SLPR,12600
2011-159374-SLPR,33075
2011-160660-SLPR,17625
2011-161200-SLPR,2100
4040-008,65520
2014-645455-Sola,4449.7
2011-159743-SLPR,19320
2014-644770-Sola,1571.79
2011-156236-SLPR,9000
2011-160530-SLPR,18480
2012-475590-Sola,6867
2011-183570-SLPR,34545
2014-645871-Sola,3560.78
2014-654886-Sola,2764.82
2011-158468-SLPR,17500
2014-653482-Sola,2229.84
2010-145172-SLPR,89700
2011-158463-SLPR,23520
2013-635324-Sola,5626.71
2011-159323-SLPR,24150
2011-158147-SLPR,37500
2011-382764-SLPR,16800
4001-017,122500
2012-464130-Sola,8400
2011-158172-SLPR,19687.5
2011-157226-SLPR,40000
2013-538150-Sola,7289.2
4033-51193,4848
2011-392768-SLPR,17500
2011-158051-SLPR,37440
2011-432691-Sola,17290
2013-538832-Sola,6165.64
4003-19332,8750
2014-648138-Sola,5501.43
2013-538408-Sola,4645.81
2013-528741-Sola,13448.75
2014-658903-Sola,3196.21
2013-536566-Sola,7877.57
2012-475959-Sola,11103.75
2011-157516-SLPR,17062.5
2012-502747-Sola,12005
2011-158995-SLPR,13167
4030-106,9000
2013-539532-Sola,2442.69
4054-21679,8820
2013-537072-Sola,17200
2014-658880-Sola,2042.6
2011-158099-SLPR,35100
2011-447572-Sola,17500
2011-160917-SLPR,29400
2014-660669-Sola,2802.88
2012-448572-SLPR,16905
2013-555539-Sola,3475.48
2013-538700-Sola,6186.59
2014-644755-Sola,6600
2013-532872-Sola,12987.7
2011-160103-SLPR,37325
2014-663282-Sola,2985.41
2013-536103-Sola,7405.78
2014-658870-Sola,6098.28
2011-160613-SLPR,24150
2011-157708-SLPR,47500
2011-159806-SLPR,25987.5
2011-158007-SLPR,7140
2014-649468-Sola,3440.17
2011-158376-SLPR,15120
2014-665433-Sola,4133.14
2013-528831-Sola,17500
2014-664065-Sola,4100.39
2011-160433-SLPR,28750
2011-160769-SLPR,16100
2010-147446-SLPR,14720
2011-390973-SLPR,5346.25
2011-160259-SLPR,21075
2014-666226-Sola,1925.62
2011-157428-SLPR,26250
2013-530717-Sola,16067.7
2011-156717-SLPR,50000
2014-651014-Sola,1729.94
2014-648475-Sola,3377.2
4033-46074,5594
4001-024,11800
2010-146523-SLPR,89700
2011-160111-SLPR,21168
2011-373144-SLPR,6772.5
2011-160551-SLPR,29925
4006-52449,6075
2014-642012-Sola,3172.13
2013-636809-Sola,9569.97
2014-649264-Sola,2621.6
2014-664342-Sola,2874.73
2014-660976-Sola,4088.07
2014-663358-Sola,1643.59
2011-157649-SLPR,19125
2012-478874-Sola,17500
2014-661014-Sola,1338.67
2013-530302-Sola,12936
2014-649661-Sola,4652.07
2011-159849-SLPR,35510
2011-159520-SLPR,29400
2013-538299-Sola,4767.29
4054-028,8750
2014-648200-Sola,3187.06
2013-538759-Sola,3770.64
2013-542492-Sola,2098.62
2014-645288-Sola,2609.21
2011-158550-SLPR,18655
2013-630981-Sola,30144.56
2011-159134-SLPR,19320
2011-156910-SLPR,37125
2013-536984-Sola,8152.16
2011-156332-SLPR,50400
2014-658985-Sola,6600
2014-664051-Sola,4131.16
2014-645735-Sola,2921.64
2012-448317-SLPR,13440
2012-518035-Sola,9660
2011-160788-SLPR,19320
2014-660328-Sola,4079.99
2011-156401-SLPR,17280
2011-159202-SLPR,16800
2014-640684-Sola,1896.24
4006-100254,2354
2011-160983-SLPR,33264
2013-539831-Sola,2892.35
2014-654662-Sola,4199.52
2011-159894-SLPR,19880
2011-160145-SLPR,31752
4089-016,12880
2010-146364-SLPR,16200
2010-148862-SLPR,15540
2011-160493-SLPR,35000
2011-156631-SLPR,28800
2010-145793-SLPR,33750
2014-658823-Sola,2853.12
2013-536956-Sola,4330.73
2013-533670-Sola,17200
2012-456114-SLPR,137280
2012-518037-Sola,17500
2014-649592-Sola,4461.72
2013-539524-Sola,3363.48
2011-158609-SLPR,34650
2013-537816-Sola,9351.32
2011-159803-SLPR,28175
2013-542485-Sola,4263
2014-647960-Sola,3727.25
4061-122,9000
4005-009,35000
2011-157888-SLPR,34500
2014-645227-Sola,4039.86
2011-156382-SLPR,14400
2011-157805-SLPR,12525
2014-661201-Sola,1439.35
2011-160014-SLPR,35000
2013-531878-Sola,14820
4089-34160,9800
4056-027,19120
2011-390631-SLPR,14892.5
2013-534016-Sola,6535.95
2011-157036-SLPR,49200
2011-160340-SLPR,16578
2013-615491-Sola,3603.27
2014-644860-Sola,3633.43
2014-654977-Sola,2632.14
2014-654730-Sola,3051.68
2014-666018-Sola,4050.27
4030-115,8510
4003-22699,10867
2011-160297-SLPR,30971
2013-523799-Sola,17500
2011-159007-SLPR,21384
2014-662815-Sola,3649.47
2012-465731-Sola,1610
2012-468332-Sola,17500
2011-158769-SLPR,13500
2012-518551-Sola,13734
4108-010,36000
2010-147703-SLPR,5880
2013-538440-Sola,6094.37
2011-157817-SLPR,8580
2011-158653-SLPR,33810
2013-528323-Sola,17500
2011-158568-SLPR,26334
2011-158629-SLPR,19404
2011-160481-SLPR,31825
2014-655460-Sola,3129.8
2013-538511-Sola,13551.63
4086-022,12160
2014-664210-Sola,4764.58
2013-635319-Sola,1987.71
2013-624654-Sola,15207.29
2011-156691-SLPR,49950
4001-50142,3024
2011-156527-SLPR,50000
2011-157994-SLPR,18787.5
2010-147404-SLPR,11672.5
2014-665379-Sola,3813.51
2013-539411-Sola,6000.61
2011-158724-SLPR,28175
2011-438209-Sola,12600
2012-490529-Sola,10080
2011-159864-SLPR,28175
4006-44174,16000
2012-500231-Sola,9156
2011-160543-SLPR,25760
2014-646689-Sola,3773.22
2014-654781-Sola,2458.18
2012-488120-Sola,31850
2013-531631-Sola,8266.38
2010-145765-SLPR,31050
2011-158706-SLPR,18375
4028-22718,4891.25
2013-524710-Sola,8820
2012-486496-Sola,12600
2014-665745-Sola,2590.62
2014-663618-Sola,4505.53
2012-471252-Sola,17500
2011-156468-SLPR,60000
2013-528860-Sola,15172.5
2014-648883-Sola,2183.37
2014-644838-Sola,3079.09
2009-105787-SLPR,23625
2014-663285-Sola,3340.72
2011-160429-SLPR,21075
2014-645831-Sola,4478.77
2013-531812-Sola,11700
2013-532999-Sola,4951.09
2013-533587-Sola,6904.45
4030-110,10300
2013-555440-Sola,5852.04
2014-649082-Sola,4345.36
2011-156822-SLPR,21600
2014-645987-Sola,3838.94
2014-640154-Sola,2989.38
2013-530582-Sola,13037
2012-487834-Sola,17500
2013-540637-Sola,44213.26
2011-158458-SLPR,19950
2014-662849-Sola,2412.02
2011-367136-SLPR,10080
2012-470619-Sola,7840
2014-660385-Sola,6422.23
2013-555421-Sola,1577.65
2014-661343-Sola,3879.86
2014-646232-Sola,2625.09
2012-505451-Sola,12075
2013-542129-Sola,1948.95
2011-156255-SLPR,20160
2013-625341-Sola,1322.04
2011-159996-SLPR,33687.5
2014-655603-Sola,5107.38
2014-660708-Sola,2233.16
2010-148108-SLPR,11331.25
2014-655634-Sola,5266.35
2011-422944-Sola,17500
2013-529095-Sola,6480
4001-35874,1863
2014-660695-Sola,1745.8
2011-373138-SLPR,10867.5
2014-666116-Sola,2670.88
2013-532637-Sola,14151.44
2013-535319-Sola,9320.89
2011-150222-SLPR,15288
2011-390936-SLPR,17500
2013-608172-Sola,2550.45
2011-157774-SLPR,11475
2013-635378-Sola,4765.15
2013-624581-Sola,5904.64
2013-535910-Sola,10797.71
2012-487437-Sola,8575
2014-638985-Sola,3096.44
2014-655282-Sola,1679.85
2011-156999-SLPR,20290.5
2014-661028-Sola,4863.64
4003-048,21560
2013-528425-Sola,14560
2014-636977-Sola,2785.15
2011-157962-SLPR,26302.5
2014-666202-Sola,1815.19
2012-463929-Sola,17500
2014-654897-Sola,3173.01
2011-157956-SLPR,37500
4006-020,23816
2011-414556-Sola,17500
2011-432479-Sola,17080
4054-002,14080
2013-520501-Sola,16380
2010-145113-SLPR,10575
2013-538655-Sola,2224.3
2013-538257-Sola,5704.54
4003-038,16800
2011-157413-SLPR,21037.5
2014-661503-Sola,3621.25
2014-666096-Sola,3397.85
2011-158398-SLPR,21000
2014-648485-Sola,4193.95
2013-536459-Sola,4325.57
2014-662944-Sola,5046.88
2011-157421-SLPR,22500
2011-391531-SLPR,8277.5
2013-539069-Sola,5910.69
4089-034,15040
4003-23646,6475
2011-156722-SLPR,12240
2011-159526-SLPR,34440
2014-640265-Sola,3739.43
2013-632951-Sola,2119.62
2015-690669-Sola,4394
2011-157599-SLPR,25740
2010-147502-SLPR,11978.75
2011-160765-SLPR,22365
2010-146529-SLPR,16560
2013-531582-Sola,13000
2014-649607-Sola,2949.24
2011-158357-SLPR,19500
2011-158494-SLPR,17290
2014-655707-Sola,2733.13
2011-157823-SLPR,24000
2011-160126-SLPR,13160
2014-666191-Sola,936.11
2011-156863-SLPR,20290.5
2014-658850-Sola,4610.09
2014-655088-Sola,3302.02
2012-456808-Sola,15750
2011-158106-SLPR,19500
2014-637084-Sola,4840.53
2014-653648-Sola,3383.15
2011-160585-SLPR,24832.5
4054-22577,8820
2011-159960-SLPR,25760
2012-499424-Sola,16023
2011-413817-SLPR,12320
2013-536671-Sola,6783.89
2014-639859-Sola,2450.07
2014-666062-Sola,3211.3
2014-649236-Sola,3083.61
4101-99060,24035
2012-457052-SLPR,122000
2012-487875-Sola,17500
2011-157672-SLPR,32906.3
2011-159544-SLPR,12880
2014-658953-Sola,2465.95
2014-661872-Sola,3281.81
2013-625208-Sola,4252.08
2010-147088-SLPR,16560
2011-156544-SLPR,39600
2013-538463-Sola,4436.48
2010-145515-SLPR,262500
2012-475978-Sola,4287.5
2012-487568-Sola,11830
2011-160127-SLPR,40160
2013-529335-Sola,11781
2014-659349-Sola,3066.81
2013-533421-Sola,4725.62
2013-531440-Sola,10167.46
4001-031,10000
2013-540657-Sola,132172.63
2014-660637-Sola,861.61
2011-156878-SLPR,23040
4001-62449,7098
2011-160507-SLPR,24150
2013-632922-Sola,2975.88
2013-538231-Sola,6207.35
4003-023-1,7360
2012-487956-Sola,17167.5
2011-371999-SLPR,17500
2010-147721-SLPR,12880
2014-660634-Sola,2600.26
2014-643765-Sola,2451.49
2011-160576-SLPR,31500
4006-47057,5000
2013-538220-Sola,8080.39
2011-156795-SLPR,16650
2011-158432-SLPR,18144
2011-158667-SLPR,15750
2010-148484-SLPR,8093.75
2011-159274-SLPR,21735
2014-654921-Sola,2950.84
2011-156238-SLPR,8640
2011-161110-SLPR,16774.5
2014-663754-Sola,3885.94
2013-529239-Sola,16500
2013-536218-Sola,4839.53
2014-648740-Sola,5583.79
2011-159400-SLPR,17500
2013-538260-Sola,9133.3
2013-625334-Sola,2552.08
2013-540895-Sola,3995.84
2014-665990-Sola,2679.78
2014-643555-Sola,5411.22
2011-157924-SLPR,28080
2011-156591-SLPR,28800
2011-158302-SLPR,32400
2014-647988-Sola,3844.75
4054-19823,8820
2013-536655-Sola,6797.23
2014-645498-Sola,3958.05
4022-20110,8750
2013-538782-Sola,4670.53
2011-158157-SLPR,37260
2013-538336-Sola,2544.73
2012-500287-Sola,17167.5
4001-30096,10500
2011-159226-SLPR,25872
2013-538328-Sola,4795.28
2011-157470-SLPR,34944
2011-432750-Sola,6580
2011-157157-SLPR,40000
2010-145246-SLPR,25000
2011-158141-SLPR,30000
2014-663988-Sola,4494.27
2011-440610-Sola,17500
2014-648175-Sola,2956.22
2013-533614-Sola,10748.9
2013-532476-Sola,10295.86
2014-659059-Sola,5539.84
2014-664781-Sola,3759.3
2014-664152-Sola,4804.85
2011-159709-SLPR,28980
4009-004,92880
2014-649461-Sola,3479.29
2013-538560-Sola,3750.21
2011-432937-SLPR,26460
4001-99454,1792
2011-160852-SLPR,35510
2013-535716-Sola,3930.52
2014-661380-Sola,1577.83
2013-532192-Sola,8660.7
2013-536349-Sola,12325.41
2011-188572-SLPR,33547.5
2013-586578-Sola,2354.73
2013-540722-Sola,2880.44
2013-534268-Sola,7240.04
2014-648320-Sola,1350.14
4030-25695,8050
2013-535949-Sola,7570.62
2014-649423-Sola,2531.91
2012-475084-Sola,9432.5
2011-161059-SLPR,12650
2012-470334-Sola,17500
4006-65216,7140
2011-150333-SLPR,6918.4
4033-57316-GJ,7488
4011-26866,12250
4030-21356,9712.5
2011-150548-SLPR,4112.5
2011-160629-SLPR,25137
2011-156993-SLPR,12375
2011-157856-SLPR,18000
2010-145744-SLPR,19800
2014-655019-Sola,6431
4089-51523,3105
2010-145900-SLPR,14800
2013-531938-Sola,14323.02
2013-636762-Sola,5155.94
2011-158332-SLPR,23062.5
2011-158801-SLPR,22540
2014-639949-Sola,2267.71
2012-499954-Sola,13650
2014-639893-Sola,3322.3
2014-655827-Sola,3334.46
2014-663239-Sola,5691.32
2013-528286-Sola,17500
2014-658679-Sola,5571.2
2011-156675-SLPR,29600
2011-160335-SLPR,26325
2013-535825-Sola,6698.86
4011-30067,10500
2013-533193-Sola,9464.91
2014-638412-Sola,1167.41
2011-161021-SLPR,46400
2011-159030-SLPR,31752
2011-160403-SLPR,18225
2011-157356-SLPR,29920
2012-489988-Sola,8478.75
2012-469511-Sola,16595.25
2014-646015-Sola,3764.11
2013-617076-Sola,4736.51
2011-160219-SLPR,35000
2014-655369-Sola,3731.14
4015-008,9360
2011-158827-SLPR,35000
4077-014,8880
2013-530610-Sola,15000
2011-188591-SLPR,24150
2014-643594-Sola,3702.37
2011-160276-SLPR,10864
2011-158647-SLPR,14350
4003-014,16800
2011-159604-SLPR,29400
2011-158513-SLPR,47500
4030-046,20120
4022-007,33350
2013-538675-Sola,4441.48
2011-448210-Sola,5635
2014-649691-Sola,3651.49
2013-531995-Sola,11992.02
2013-536849-Sola,5839.62
2013-531009-Sola,16500
4030-033,18000
2014-661297-Sola,2194.11
2014-663790-Sola,4354.47
2011-425804-Sola,10500
2012-465521-Sola,11445
2014-663919-Sola,5065.82
2013-538372-Sola,7609.75
2011-158528-SLPR,35000
2014-661167-Sola,4526.93
2014-643656-Sola,5172.78
2011-159185-SLPR,35000
2012-475451-Sola,54600
2014-653707-Sola,2709.4
2011-158087-SLPR,28687.5
2011-159977-SLPR,105050
2013-527035-Sola,16835
2014-664306-Sola,2452.9
2011-157212-SLPR,16800
2011-415194-Sola,17500
2013-585727-Sola,2258.16
2014-665447-Sola,1900.61
2014-653764-Sola,3448.27
4022-31064,8835
2014-664682-Sola,4036.09
2011-158992-SLPR,7392
2011-157760-SLPR,6240
4061-045,21200
2011-158845-SLPR,24948
2011-159828-SLPR,12600
2014-640009-Sola,2724.94
2012-502605-Sola,14280
2014-649572-Sola,3717.71
2011-159928-SLPR,35000
2011-440899-Sola,13440
2014-640367-Sola,1987.99
2014-659120-Sola,3748.96
2014-648547-Sola,4574.64
2013-540136-Sola,62880.21
2011-157498-SLPR,37500
2014-660731-Sola,2015.47
2013-533943-Sola,8243.69
2013-530163-Sola,3861
2014-654869-Sola,2018.15
2014-650962-Sola,2928.27
2014-645925-Sola,2282.92
2011-159674-SLPR,23345
2012-500769-Sola,12600
2013-531613-Sola,17200
2011-159779-SLPR,34615
2014-657139-Sola,5057.04
2011-156571-SLPR,48000
4006-100263,2160
2011-158684-SLPR,19320
2011-159360-SLPR,35000
2014-655332-Sola,1904.52
2014-639827-Sola,1105.27
2011-161126-SLPR,19799.5
2014-645338-Sola,3067.91
2011-159504-SLPR,35000
2013-535521-Sola,14658.62
2013-623503-Sola,2316.78
2014-663925-Sola,3508.47
2014-644955-Sola,5160.54
2013-636552-Sola,44890.83
2014-648906-Sola,2203.57
2011-159241-SLPR,12880
