,Project Number,Zip Code
0,4362-46733,12302
1,4629-81627,11961
2,4663-31941,10548
3,4704-44610,12205
4,92289,10705
5,72014,13035
6,5159-66514,501
7,5159-66522,501
8,5220-56787,11590
9,81880,10461
10,91210,11414
11,159132,11725
12,168485,10803
13,179480,11429
14,188511,10913
15,194589,11436
16,203064,11420
17,4089-34641,11206
18,2011-158218-SLPR,11957
19,2013-545807-Sola,11702
20,2010-149013-SLPR,11772
21,4056-19990,10801
22,2011-156381-SLPR,11937
23,2010-145010-SLPR,11566
24,2014-655009-Sola,11934
25,2012-456108-SLPR,11803
26,2012-474954-Sola,11937
27,2013-535800-Sola,11793
28,2012-465743-Sola,11901
29,2014-646044-Sola,11743
30,2014-663193-Sola,11787
31,4006-43308,13732
32,2011-158281-SLPR,11746
33,2013-538585-Sola,11776
34,2011-159338-SLPR,11725
35,4033-46369,14850
36,2013-542593-Sola,11565
37,2012-456649-Sola,11706
38,2011-157048-SLPR,11795
39,2011-157567-SLPR,11963
40,2012-457606-Sola,11783
41,2012-468959-Sola,11710
42,2011-156637-SLPR,11968
43,2014-646261-Sola,11752
44,2011-159050-SLPR,11954
45,2013-535353-Sola,11941
46,2014-646330-Sola,11703
47,2013-636600-Sola,11779
48,2011-158810-SLPR,11756
49,4006-94274,13905
50,2012-488448-Sola,11735
51,4022-37844,11356
52,2011-160355-SLPR,11949
53,2014-655339-Sola,11776
54,2011-160802-SLPR,11552
55,2011-157458-SLPR,11777
56,2013-546182-Sola,11704
57,2011-157305-SLPR,11801
58,2011-160820-SLPR,11937
59,2011-158597-SLPR,11779
60,2013-630184-Sola,11010
61,2014-640099-Sola,11787
62,2011-156289-SLPR,11971
63,2013-535786-Sola,11710
64,2013-625496-Sola,11738
65,2011-190664-SLPR,11946
66,2013-537603-Sola,11040
67,4006-70179,10591
68,2011-161196-SLPR,11717
69,2011-160473-SLPR,11968
70,2011-157852-SLPR,11952
71,2012-456551-Sola,11735
72,2014-660869-Sola,11703
73,2011-157068-SLPR,11782
74,2014-651995-Sola,11726
75,4030-011,12533
76,2011-157635-SLPR,11733
77,4061-100,12477
78,2011-158130-SLPR,11962
79,2013-531776-Sola,11754
80,2012-457083-SLPR,11705
81,4030-073,12165
82,2014-636929-Sola,11767
83,2011-160449-SLPR,11967
84,2011-157164-SLPR,11787
85,2013-535988-Sola,11937
86,2014-653537-Sola,11755
87,2012-456009-SLPR,11572
88,2013-520561-Sola,11743
89,2010-148863-SLPR,11554
90,4061-001,12589
91,2013-538972-Sola,11758
92,2011-160370-SLPR,11706
93,2011-432225-Sola,11779
94,2014-649320-Sola,11729
95,2013-520592-Sola,11937
96,4033-43259,13784
97,2014-640370-Sola,11743
98,2012-459436-Sola,11964
99,2013-532931-Sola,11755
100,2011-158788-SLPR,11717
101,2011-160652-SLPR,11554
102,2012-500111-Sola,11766
103,2011-156622-SLPR,11776
104,2012-476706-Sola,11980
105,4011-65637-GJ,12919
106,2011-157246-SLPR,11715
107,4014-35359,10453
108,2013-534910-Sola,11694
109,4018-007,14850
110,2013-540023-Sola,11702
111,2014-663860-Sola,11561
112,2010-146667-SLPR,11561
113,2011-426734-Sola,11783
114,2014-638501-Sola,11772
115,2014-648063-Sola,11791
116,2011-158957-SLPR,11976
117,2011-157111-SLPR,11747
118,4001-29060,13802
119,2011-386622-SLPR,11729
120,2010-145358-SLPR,11731
121,4003-062,12186
122,2013-530360-Sola,11764
123,4001-33605,13605
124,2012-519443-Sola,11780
125,2014-663862-Sola,11746
126,2011-159157-SLPR,11944
127,2014-666179-Sola,11764
128,4054-21984,13827
129,2011-157783-SLPR,11751
130,2011-156849-SLPR,11789
131,2014-648432-Sola,11554
132,2014-649205-Sola,11569
133,2014-660824-Sola,11782
134,2011-156807-SLPR,11733
135,2011-158417-SLPR,11793
136,2011-158429-SLPR,11716
137,2013-538237-Sola,11752
138,2011-195534-SLPR,11729
