Zip Code,City,County,State
12302,Scotia,Schenectady,NY
11961,Ridge,Suffolk,NY
10548,Montrose,Westchester,NY
12205,Albany,Albany,NY
10705,Yonkers,Westchester,NY
13035,Cazenovia,Madison,NY
501,Holtsville,Suffolk,NY
501,Holtsville,Suffolk,NY
11590,Westbury,Nassau,NY
10461,Bronx,Bronx,NY
11414,Queens,Queens,NY
11725,Commack,Suffolk,NY
10803,Pelham,Westchester,NY
11429,Queens,Queens,NY
10913,Blauvelt,Rockland,NY
11436,Queens,Queens,NY
11420,Queens,Queens,NY
11206,Brooklyn,Kings,NY
11957,Orient,Suffolk,NY
11702,Babylon,Suffolk,NY
11772,Patchogue,Suffolk,NY
10801,New Rochelle,Westchester,NY
11937,East Hampton,Suffolk,NY
11566,Merrick,Nassau,NY
11934,Center Moriches,Suffolk,NY
11803,Plainview,Nassau,NY
11937,East Hampton,Suffolk,NY
11793,Wantagh,Nassau,NY
11901,Riverhead,Suffolk,NY
11743,Huntington,Suffolk,NY
11787,Smithtown,Suffolk,NY
13732,Apalachin,Tioga,NY
11746,Dix Hills,Suffolk,NY
11776,Port Jefferson Station,Suffolk,NY
11725,Commack,Suffolk,NY
14850,Ithaca,Tompkins,NY
11565,Malverne,Nassau,NY
11706,Bay Shore,Suffolk,NY
11795,West Islip,Suffolk,NY
11963,Sag Harbor,Suffolk,NY
11783,Seaford,Nassau,NY
11710,Bellmore,Nassau,NY
11968,Southampton,Suffolk,NY
11752,Islip Terrace,Suffolk,NY
11954,Montauk,Suffolk,NY
11941,Eastport,Suffolk,NY
11703,North Babylon,Suffolk,NY
11779,Ronkonkoma,Suffolk,NY
11756,Levittown,Nassau,NY
13905,Binghamton,Broome,NY
11735,Farmingdale,Suffolk,NY
11356,College Point,Queens,NY
11949,Manorville,Suffolk,NY
11776,Port Jefferson Station,Suffolk,NY
11552,West Hempstead,Nassau,NY
11777,Port Jefferson,Suffolk,NY
11704,West Babylon,Suffolk,NY
11801,Hicksville,Nassau,NY
11937,East Hampton,Suffolk,NY
11779,Ronkonkoma,Suffolk,NY
11010,Franklin Square,Nassau,NY
11787,Smithtown,Suffolk,NY
11971,Southold,Suffolk,NY
11710,North Bellmore,Nassau,NY
11738,Farmingville,Suffolk,NY
11946,Hampton Bays,Suffolk,NY
11040,New Hyde Park,Nassau,NY
10591,Sleepy Hollow,Westchester,NY
11717,Brentwood,Suffolk,NY
11968,Southampton,Suffolk,NY
11952,Mattituck,Suffolk,NY
11735,Farmingdale,Suffolk,NY
11703,North Babylon,Suffolk,NY
11782,Sayville,Suffolk,NY
11726,Copiague,Suffolk,NY
12533,Hopewell Junction,Dutchess,NY
11733,Setauket,Suffolk,NY
12477,Saugerties,Ulster,NY
11962,Sagaponack,Suffolk,NY
11754,Kings Park,Suffolk,NY
11705,Bayport,Suffolk,NY
12165,Spencertown,Columbia,NY
11767,Nesconset,Suffolk,NY
11967,Shirley,Suffolk,NY
11787,Smithtown,Suffolk,NY
11937,East Hampton,Suffolk,NY
11755,Lake Grove,Suffolk,NY
11572,Oceanside,Nassau,NY
11743,Huntington,Suffolk,NY
11554,East Meadow,Nassau,NY
12589,Wallkill,Ulster,NY
11758,North Massapequa,Nassau,NY
11706,Bay Shore,Suffolk,NY
11779,Lake Ronkonkoma,Suffolk,NY
11729,Deer Park,Suffolk,NY
11937,East Hampton,Suffolk,NY
13784,Richford,Cortland,NY
11743,Halesite,Suffolk,NY
11964,Shelter Island,Suffolk,NY
11755,Lake Grove,Suffolk,NY
11717,Brentwood,Suffolk,NY
11554,East Meadow,Nassau,NY
11766,Mount Sinai,Suffolk,NY
11776,Port Jefferson Station,Suffolk,NY
11980,Yaphank,Suffolk,NY
12919,Champlain,Clinton,NY
11715,Blue Point,Suffolk,NY
10453,Bronx,Bronx,NY
